Student_ID,Time,Type,Test,Class,Teacher,SchoolDistrict,AssignedCondition,ActualCondition,Dyad,NumPartners,IndividualDays,CollaborativeDays,MixedDays,Month,Gender,Grade,DayCount,TestCount,UnitCount,TutorCount,NotInclude,NotInclude,1_fractionBarA0201 SetPieces,1_fractionBarA0401 SetPieces,1_pieChartA0101 SetPieces,1_pieChartA0301 SetPieces,1 Total,2_denA0001 UpdateTextField,2_dragNDropA0302 SetChildren,2_numA0001 UpdateTextField,2 Total,3_denA0201 UpdateTextArea,3_denA0202 UpdateTextArea,3_denA0203 UpdateTextArea,3_denA0204 UpdateTextArea,3_denA0205 UpdateTextArea,3_dragNDropA0301 SetChildren,3_dragNDropA0302 SetChildren,3_dragNDropA0303 SetChildren,3_dragNDropA0304 SetChildren,3_dragNDropA0305 SetChildren,3_lcdA0101 UpdateTextArea,3_numA0201 UpdateTextArea,3_numA0202 UpdateTextArea,3_numA0203 UpdateTextArea,3_numA0204 UpdateTextArea,3_numA0205 UpdateTextArea,3 Total,4_dragNDropA0302 SetChildren,4_lcdA0001 UpdateTextField,4_multA0001 UpdateTextField,4_multA0002 UpdateTextField,4 Total,5_responseA0001 UpdateTextArea,5 Total,6_responseA0001 UpdateTextArea,6 Total,7_denA0002 UpdateTextField,7_dragNDropA0302 SetChildren,7_numA0002 UpdateTextField,7 Total,8_compareA0001 UpdateTextField,8_denA0003 UpdateTextField,8_denA0004 UpdateTextField,8_dragNDropA0302 SetChildren,8_lcdA0001 UpdateTextField,8_numA0003 UpdateTextField,8_numA0004 UpdateTextField,8 Total,9_dragNDropA0103 SetChildren,9_dragNDropA0104 SetChildren,9_dragNDropA0105 SetChildren,9_dragNDropA0106 SetChildren,9_dragNDropA0107 SetChildren,9_dragNDropA0108 SetChildren,9 Total,10_dragNDropA0103 SetChildren,10_dragNDropA0104 SetChildren,10_dragNDropA0105 SetChildren,10_dragNDropA0106 SetChildren,10_dragNDropA0107 SetChildren,10_dragNDropA0108 SetChildren,10 Total,11_dragNDropA0302 SetChildren,11_pieChartA0001 SetPieces,11 Total,12_denA0201 UpdateTextArea,12_denA0202 UpdateTextArea,12_denA0301 UpdateTextArea,12_numA0201 UpdateTextArea,12_numA0202 UpdateTextArea,12_numA0301 UpdateTextArea,12_textA0101 UpdateTextArea,12 Total,13_denA0003 UpdateTextField,13_denA0004 UpdateTextField,13_denA0005 UpdateTextField,13_dragNDropA0302 SetChildren,13_lcdA0001 UpdateTextField,13_numA0003 UpdateTextField,13_numA0004 UpdateTextField,13_numA0005 UpdateTextField,13 Total,14_denA0201 UpdateTextArea,14_denA0202 UpdateTextArea,14_denA0301 UpdateTextArea,14_numA0201 UpdateTextArea,14_numA0202 UpdateTextArea,14_numA0301 UpdateTextArea,14_textA0101 UpdateTextArea,14 Total,15_denA0003 UpdateTextField,15_denA0004 UpdateTextField,15_denA0005 UpdateTextField,15_dragNDropA0302 SetChildren,15_lcdA0001 UpdateTextField,15_numA0003 UpdateTextField,15_numA0004 UpdateTextField,15_numA0005 UpdateTextField,15 Total,Grand Total,ErroneousTotal,ErroneousPercentage,ProceduralTotal,ProceduralPercentage,NonWrittenTotal,WeightedTotal,TotalPercentage,HintsComparingErroneous,HintsComparingProcedural,HintsEquivalentErroneous,HintsEquivalentProcedural,HintsLCDErroneous,HintsLCDProcedural,HintsErroneous,HintsProcedural,HintsTotal,ErrorsComparingErroneous,ErrorsComparingProcedural,ErrorsEquivalentErroneous,ErrorsEquivalentProcedural,ErrorsLCDErroneous,ErrorsLCDProcedural,ErrorsErroneous,ErrorsProcedural,ErrorsTotal,WrittenLength,StudentDuration,ClassDuration,TotalPercentStudentDuration,TotalPercentClassDuration
Stu_049d4b0e20a592319973093bdf412b18,Pretest,B,Pretest B,Rongaus 2,Rongaus ,Montour,C,C,433,1,0,3,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,0,1,3,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,0.057142857,18,0.391304348,20,0.224223602,0.24691358,0,0,0,0,0,0,0,0,0,4,3,4,4,10,3,18,10,28,NA,19,31,0.012995452,
Stu_049d4b0e20a592319973093bdf412b18,Posttest,A,Posttest A,Rongaus 2,Rongaus ,Montour,C,C,433,1,0,3,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,1,0,3,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,77,30,0.857142857,45,0.97826087,75,0.917701863,0.925925926,0,0,0,0,0,0,0,0,0,4,3,4,4,10,3,18,10,28,718,63,72,0.014697237,
Stu_04dcb6afb01f3e5974a34f1e45a4c512,Pretest,A,Pretest A,Shaffer,Shaffer,Holiday Park,C,C,434,1,0,2,0,May,Male,5,4,2,4,2,KEEP,KEEP,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,6,1,1,1,1,1,1,1,1,8,76,29,0.828571429,45,0.97826087,74,0.903416149,0.913580247,0,0,0,0,0,0,0,0,0,0,0,3,2,24,6,27,8,35,161,27,42,0.033836305,
Stu_04dcb6afb01f3e5974a34f1e45a4c512,Posttest,B,Posttest B,Shaffer,Shaffer,Holiday Park,C,C,434,1,0,2,0,May,Male,5,4,2,4,2,KEEP,KEEP,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,0,1,2,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,77,29,0.828571429,46,1,75,0.914285714,0.925925926,0,0,0,0,0,0,0,0,0,0,0,3,2,24,6,27,8,35,119,17,38,0.054466231,
Stu_05a9b3dd6b2ba771cba20bdb2d2942d5,Pretest,B,Pretest B,Shaffer,Shaffer,Holiday Park,C,C,435,1,0,3,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,1,0,2,0,1,1,0,1,1,1,5,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,0,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,77,29,0.828571429,46,1,75,0.914285714,0.925925926,0,0,0,0,0,0,0,0,0,20,28,24,7,30,25,74,60,134,117,27,42,0.034293553,
Stu_05a9b3dd6b2ba771cba20bdb2d2942d5,Posttest,A,Posttest A,Shaffer,Shaffer,Holiday Park,C,C,435,1,0,3,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,1,1,1,1,1,1,1,1,1,7,1,1,0,0,1,1,1,1,6,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,77,29,0.828571429,46,1,75,0.914285714,0.925925926,0,0,0,0,0,0,0,0,0,20,28,24,7,30,25,74,60,134,92,20,38,0.046296296,
Stu_075a11e1b4fbee4969b0b0146a2ffec4,Pretest,B,Pretest B,Pucka,Pucka,Holiday Park,M,M,437,1,0,0,3,May,Male,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,13,1,0,0,0,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,0,5,0,1,1,1,1,1,1,1,1,1,7,1,1,0,1,1,1,1,1,7,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,0,7,63,24,0.685714286,37,0.804347826,61,0.745031056,0.75308642,0,0,0,0,1,0,1,0,1,39,3,9,4,30,4,78,11,89,109,30,37,0.025102881,
Stu_075a11e1b4fbee4969b0b0146a2ffec4,Posttest,A,Posttest A,Pucka,Pucka,Holiday Park,M,M,437,1,0,0,3,May,Male,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,5,1,1,1,1,1,1,6,1,1,1,1,0,0,4,1,1,2,1,1,1,1,1,1,1,7,1,1,0,1,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,0,1,1,1,0,6,68,22,0.628571429,44,0.956521739,66,0.792546584,0.814814815,0,0,0,0,1,0,1,0,1,39,3,9,4,30,4,78,11,89,100,12,25,0.067901235,
Stu_080d68f459b1a4b5cb5d323f548da5a4,Pretest,B,Pretest B,Ewonce,Ewonce,Montour,M,M,439,2,0,0,3,May,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,5,1,0,0,1,2,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,0.114285714,9,0.195652174,13,0.154968944,0.160493827,0,4,0,0,0,20,0,24,24,25,42,4,6,13,35,42,83,125,119,30,41,0.005349794,
Stu_080d68f459b1a4b5cb5d323f548da5a4,Posttest,A,Posttest A,Ewonce,Ewonce,Montour,M,M,439,2,0,0,3,May,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,2,1,1,1,1,1,0,1,2,1,1,1,1,1,0,0,5,0,0,0,0,0,1,1,1,1,1,1,1,1,6,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,7,1,1,1,1,0,0,1,5,,,,0,,,,,0,38,18,0.514285714,18,0.391304348,36,0.452795031,0.444444444,0,4,0,0,0,20,0,24,24,25,42,4,6,13,35,42,83,125,235,54,60,0.008230453,
Stu_08475646c66f575d12aa2b2f6f346ddd,Pretest,A,Pretest A,Pucka,Pucka,Holiday Park,M,M,443,2,0,0,3,May,Male,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,3,1,1,1,1,1,1,1,3,0,1,0,1,0,1,0,3,1,1,1,1,1,1,6,1,1,1,1,0,0,4,1,1,2,1,1,1,0,0,1,1,5,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,59,29,0.828571429,28,0.608695652,57,0.71863354,0.703703704,0,0,17,3,3,0,20,3,23,30,41,8,4,21,12,59,57,116,54,21,37,0.0335097,
Stu_08475646c66f575d12aa2b2f6f346ddd,Posttest,B,Posttest B,Pucka,Pucka,Holiday Park,M,M,443,2,0,0,3,May,Male,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,5,1,1,1,1,1,1,6,1,1,1,1,0,1,5,1,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,0,1,1,1,0,6,70,23,0.657142857,45,0.97826087,68,0.817701863,0.839506173,0,0,17,3,3,0,20,3,23,30,41,8,4,21,12,59,57,116,33,11,25,0.076318743,
Stu_08acbe47c4b4cc5c3e70e9da3be58ced,Pretest,A,Pretest A,Brallier,Brallier,Level Green,I,I,,1,3,0,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,5,0,1,1,1,0,1,4,1,1,1,1,1,1,6,0,0,0,1,1,1,0,0,0,1,4,1,1,1,1,1,1,1,1,8,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,8,42,21,0.6,19,0.413043478,40,0.506521739,0.49382716,0,0,1,3,4,0,5,3,8,28,15,34,109,58,23,120,147,267,246,22,35,0.022446689,
Stu_08acbe47c4b4cc5c3e70e9da3be58ced,Posttest,B,Posttest B,Brallier,Brallier,Level Green,I,I,,1,3,0,0,May,Female,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,6,1,0,0,0,1,1,1,1,1,1,1,0,2,0,1,1,0,1,1,1,5,1,0,1,1,0,0,3,1,1,1,1,0,1,5,0,1,1,1,1,1,0,0,0,1,4,1,1,0,0,1,1,1,1,6,1,1,1,0,0,1,1,5,1,1,1,1,1,1,1,0,7,51,22,0.628571429,27,0.586956522,49,0.607763975,0.604938272,0,0,1,3,4,0,5,3,8,28,15,34,109,58,23,120,147,267,210,17,61,0.035584604,
Stu_08f53d57694ff592b84ad1a31889dc03,Pretest,B,Pretest B,Deley,Deley,Montour,M,M,446,1,0,0,3,May,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,0,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,13,1,1,1,1,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,1,1,6,0,1,1,1,1,1,1,0,0,1,5,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,,,,0,,,,,0,55,16,0.457142857,37,0.804347826,53,0.630745342,0.654320988,0,0,9,3,11,14,20,17,37,17,3,2,3,30,14,49,20,69,186,31,36,0.021107129,
Stu_08f53d57694ff592b84ad1a31889dc03,Posttest,A,Posttest A,Deley,Deley,Montour,M,M,446,1,0,0,3,May,Female,4,5,2,6,3,KEEP,KEEP,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,0,1,1,1,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,7,0,0,0,0,1,1,2,1,1,1,1,1,1,6,0,1,1,1,1,1,1,1,1,1,7,1,1,1,0,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,75,31,0.885714286,42,0.913043478,73,0.899378882,0.901234568,0,0,9,3,11,14,20,17,37,17,3,2,3,30,14,49,20,69,270,32,61,0.02816358,
Stu_0963ba374068fed20a4989070159adc5,Pretest,A,Pretest A,Rongaus 2,Rongaus ,Montour,C,C,448,1,0,3,0,May,Male,5,5,2,6,3,KEEP,KEEP,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,6,1,1,1,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7,0.2,10,0.217391304,17,0.208695652,0.209876543,22,5,3,0,1,0,26,5,31,28,306,10,2,36,71,74,379,453,105,28,31,0.007495591,
